year,day_type,cluster_name,hour,trip_starts,trip_ends,net_change,active_station_hours
2022,Weekday,Commercial & Employment Core,0,30379,32176,1797,28643
2022,Weekday,Commercial & Employment Core,1,16539,16989,450,18729
2022,Weekday,Commercial & Employment Core,2,10355,10383,28,12882
2022,Weekday,Commercial & Employment Core,3,5540,6023,483,8095
2022,Weekday,Commercial & Employment Core,4,5582,5118,-464,8274
2022,Weekday,Commercial & Employment Core,5,11718,9451,-2267,15355
2022,Weekday,Commercial & Employment Core,6,35681,29868,-5813,33185
2022,Weekday,Commercial & Employment Core,7,71322,61892,-9430,46637
2022,Weekday,Commercial & Employment Core,8,135848,123907,-11941,56429
2022,Weekday,Commercial & Employment Core,9,96538,109103,12565,52811
2022,Weekday,Commercial & Employment Core,10,72517,73083,566,47126
2022,Weekday,Commercial & Employment Core,11,82572,80298,-2274,48858
2022,Weekday,Commercial & Employment Core,12,102265,101977,-288,52940
2022,Weekday,Commercial & Employment Core,13,106569,107524,955,53919
2022,Weekday,Commercial & Employment Core,14,105789,104593,-1196,53595
2022,Weekday,Commercial & Employment Core,15,120272,119766,-506,56613
2022,Weekday,Commercial & Employment Core,16,157557,152097,-5460,60172
2022,Weekday,Commercial & Employment Core,17,225038,216416,-8622,63905
2022,Weekday,Commercial & Employment Core,18,203373,203771,398,62323
2022,Weekday,Commercial & Employment Core,19,157072,163366,6294,58464
2022,Weekday,Commercial & Employment Core,20,118536,123266,4730,53570
2022,Weekday,Commercial & Employment Core,21,95405,97239,1834,49121
2022,Weekday,Commercial & Employment Core,22,75573,76698,1125,44631
2022,Weekday,Commercial & Employment Core,23,57315,61089,3774,39603
2022,Weekday,Commuter-Heavy Transit Hub,0,1678,829,-849,1457
2022,Weekday,Commuter-Heavy Transit Hub,1,987,407,-580,912
2022,Weekday,Commuter-Heavy Transit Hub,2,572,304,-268,589
2022,Weekday,Commuter-Heavy Transit Hub,3,316,171,-145,377
2022,Weekday,Commuter-Heavy Transit Hub,4,159,458,299,508
2022,Weekday,Commuter-Heavy Transit Hub,5,179,1657,1478,1404
2022,Weekday,Commuter-Heavy Transit Hub,6,759,6917,6158,3137
2022,Weekday,Commuter-Heavy Transit Hub,7,2646,18015,15369,4296
2022,Weekday,Commuter-Heavy Transit Hub,8,4298,37766,33468,4821
2022,Weekday,Commuter-Heavy Transit Hub,9,4083,26724,22641,4380
2022,Weekday,Commuter-Heavy Transit Hub,10,4200,11757,7557,3836
2022,Weekday,Commuter-Heavy Transit Hub,11,6247,9189,2942,3922
2022,Weekday,Commuter-Heavy Transit Hub,12,9005,10328,1323,4216
2022,Weekday,Commuter-Heavy Transit Hub,13,8803,9723,920,4208
