year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2022,Fall,Weekday,Commercial & Employment Core,688092,682920,-5172,299960
2022,Fall,Weekday,Commuter-Heavy Transit Hub,60347,69402,9055,20267
2022,Fall,Weekday,Leisure & Waterfront,83738,87639,3901,49930
2022,Fall,Weekday,Residential & Inner-Suburban Feeder,149648,141413,-8235,111541
2022,Fall,Weekend,Commercial & Employment Core,260452,259810,-642,121162
2022,Fall,Weekend,Commuter-Heavy Transit Hub,10157,10593,436,6967
2022,Fall,Weekend,Leisure & Waterfront,61523,63932,2409,23471
2022,Fall,Weekend,Residential & Inner-Suburban Feeder,59011,57344,-1667,43828
2022,Spring,Weekday,Commercial & Employment Core,400100,399726,-374,249511
2022,Spring,Weekday,Commuter-Heavy Transit Hub,34818,38718,3900,20285
2022,Spring,Weekday,Leisure & Waterfront,72260,75351,3091,42193
2022,Spring,Weekday,Residential & Inner-Suburban Feeder,91543,84636,-6907,83032
2022,Spring,Weekend,Commercial & Employment Core,163009,163410,401,96718
2022,Spring,Weekend,Commuter-Heavy Transit Hub,7102,6801,-301,5893
2022,Spring,Weekend,Leisure & Waterfront,58651,60384,1733,20162
2022,Spring,Weekend,Residential & Inner-Suburban Feeder,38167,36552,-1615,31805
2022,Spring,Weekend,Unassigned,0,1,1,1
2022,Summer,Weekday,Commercial & Employment Core,845412,837591,-7821,328646
2022,Summer,Weekday,Commuter-Heavy Transit Hub,64551,73041,8490,23602
2022,Summer,Weekday,Leisure & Waterfront,184467,192538,8071,74891
2022,Summer,Weekday,Residential & Inner-Suburban Feeder,195526,185952,-9574,129736
2022,Summer,Weekend,Commercial & Employment Core,360222,358481,-1741,134577
2022,Summer,Weekend,Commuter-Heavy Transit Hub,14210,13549,-661,8450
2022,Summer,Weekend,Leisure & Waterfront,145396,150832,5436,35229
2022,Summer,Weekend,Residential & Inner-Suburban Feeder,87662,85441,-2221,53219
2022,Winter,Weekday,Commercial & Employment Core,165751,165856,105,147763
2022,Winter,Weekday,Commuter-Heavy Transit Hub,14521,16439,1918,12239
2022,Winter,Weekday,Leisure & Waterfront,12083,12805,722,14623
2022,Winter,Weekday,Residential & Inner-Suburban Feeder,35130,32330,-2800,42162
2022,Winter,Weekend,Commercial & Employment Core,51301,51302,1,53047
2022,Winter,Weekend,Commuter-Heavy Transit Hub,2173,2315,142,2809
2022,Winter,Weekend,Leisure & Waterfront,4828,5114,286,5688
2022,Winter,Weekend,Residential & Inner-Suburban Feeder,10618,10217,-401,13724
2023,Fall,Weekday,Commercial & Employment Core,860568,858205,-2363,325501
2023,Fall,Weekday,Commuter-Heavy Transit Hub,71791,78709,6918,22479
2023,Fall,Weekday,Leisure & Waterfront,82342,89731,7389,57588
