station_id,year,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
7000,2022,Weekday,Residential & Inner-Suburban Feeder,15609,14910,-699,4683
7000,2022,Weekend,Residential & Inner-Suburban Feeder,6562,6575,13,1934
7000,2023,Weekday,Residential & Inner-Suburban Feeder,19551,17397,-2154,4903
7000,2023,Weekend,Residential & Inner-Suburban Feeder,6922,6794,-128,2044
7000,2024,Weekday,Residential & Inner-Suburban Feeder,23120,21707,-1413,5013
7000,2024,Weekend,Residential & Inner-Suburban Feeder,7653,7922,269,2077
7000,2025,Weekday,Residential & Inner-Suburban Feeder,23885,22878,-1007,4938
7000,2025,Weekend,Residential & Inner-Suburban Feeder,8753,8944,191,2073
7001,2022,Weekday,Commercial & Employment Core,11096,10990,-106,4677
7001,2022,Weekend,Commercial & Employment Core,4127,4061,-66,1838
7001,2023,Weekday,Commercial & Employment Core,14232,13442,-790,4838
7001,2023,Weekend,Commercial & Employment Core,4872,4631,-241,1897
7001,2024,Weekday,Commercial & Employment Core,21378,18039,-3339,5380
7001,2024,Weekend,Commercial & Employment Core,7426,5869,-1557,2156
7001,2025,Weekday,Commercial & Employment Core,21524,17055,-4469,5160
7001,2025,Weekend,Commercial & Employment Core,8527,6348,-2179,2102
7002,2022,Weekday,Commercial & Employment Core,16152,15976,-176,4557
7002,2022,Weekend,Commercial & Employment Core,4701,4592,-109,1771
7002,2023,Weekday,Commercial & Employment Core,22572,22251,-321,5008
7002,2023,Weekend,Commercial & Employment Core,6047,6000,-47,2018
7002,2024,Weekday,Commercial & Employment Core,26106,25877,-229,5111
7002,2024,Weekend,Commercial & Employment Core,7119,7069,-50,2059
7002,2025,Weekday,Commercial & Employment Core,23085,23638,553,4778
7002,2025,Weekend,Commercial & Employment Core,6269,6317,48,1884
7003,2022,Weekday,Commercial & Employment Core,6573,5842,-731,3685
7003,2022,Weekend,Commercial & Employment Core,2834,2390,-444,1487
7003,2023,Weekday,Commercial & Employment Core,6096,5780,-316,3718
7003,2023,Weekend,Commercial & Employment Core,2058,1874,-184,1408
7003,2024,Weekday,Commercial & Employment Core,6835,5890,-945,3905
7003,2024,Weekend,Commercial & Employment Core,2329,2118,-211,1495
7003,2025,Weekday,Commercial & Employment Core,5390,4632,-758,3312
7003,2025,Weekend,Commercial & Employment Core,1997,1869,-128,1304
7004,2022,Weekday,Commercial & Employment Core,5450,5087,-363,3587
7004,2022,Weekend,Commercial & Employment Core,1270,1209,-61,1153
7004,2023,Weekday,Commercial & Employment Core,6224,5703,-521,3620
7004,2023,Weekend,Commercial & Employment Core,1345,1309,-36,1218
7005,2022,Weekday,Commuter-Heavy Transit Hub,8443,8584,141,3816
7005,2022,Weekend,Commuter-Heavy Transit Hub,1859,1734,-125,1225
7005,2023,Weekday,Commuter-Heavy Transit Hub,10726,10614,-112,3938
7005,2023,Weekend,Commuter-Heavy Transit Hub,1725,1794,69,1352
