month_start,year,season,day_type,cluster_name,trip_starts,trip_ends,net_change,active_station_hours
2022-01-01,2022,Winter,Weekday,Commercial & Employment Core,27264,27426,162,32344
2022-01-01,2022,Winter,Weekday,Commuter-Heavy Transit Hub,2642,2810,168,3182
2022-01-01,2022,Winter,Weekday,Leisure & Waterfront,2293,2387,94,3096
2022-01-01,2022,Winter,Weekday,Residential & Inner-Suburban Feeder,5892,5473,-419,8227
2022-01-01,2022,Winter,Weekend,Commercial & Employment Core,12387,12358,-29,14962
2022-01-01,2022,Winter,Weekend,Commuter-Heavy Transit Hub,507,505,-2,746
2022-01-01,2022,Winter,Weekend,Leisure & Waterfront,1637,1736,99,1853
2022-01-01,2022,Winter,Weekend,Residential & Inner-Suburban Feeder,2668,2592,-76,3675
2022-02-01,2022,Winter,Weekday,Commercial & Employment Core,36895,37041,146,41837
2022-02-01,2022,Winter,Weekday,Commuter-Heavy Transit Hub,3796,4093,297,3907
2022-02-01,2022,Winter,Weekday,Leisure & Waterfront,2771,2932,161,3655
2022-02-01,2022,Winter,Weekday,Residential & Inner-Suburban Feeder,7213,6597,-616,10043
2022-02-01,2022,Winter,Weekend,Commercial & Employment Core,11519,11450,-69,14056
2022-02-01,2022,Winter,Weekend,Commuter-Heavy Transit Hub,574,585,11,837
2022-02-01,2022,Winter,Weekend,Leisure & Waterfront,1002,1080,78,1292
2022-02-01,2022,Winter,Weekend,Residential & Inner-Suburban Feeder,2107,2093,-14,3060
2022-03-01,2022,Spring,Weekday,Commercial & Employment Core,82725,82868,143,71493
2022-03-01,2022,Spring,Weekday,Commuter-Heavy Transit Hub,8367,8982,615,6093
2022-03-01,2022,Spring,Weekday,Leisure & Waterfront,7938,8476,538,8184
2022-03-01,2022,Spring,Weekday,Residential & Inner-Suburban Feeder,17054,15718,-1336,20217
2022-03-01,2022,Spring,Weekend,Commercial & Employment Core,22345,22495,150,21359
2022-03-01,2022,Spring,Weekend,Commuter-Heavy Transit Hub,1033,1013,-20,1191
2022-03-01,2022,Spring,Weekend,Leisure & Waterfront,4114,4257,143,2885
2022-03-01,2022,Spring,Weekend,Residential & Inner-Suburban Feeder,4700,4457,-243,5690
2022-04-01,2022,Spring,Weekday,Commercial & Employment Core,110312,110573,261,78040
2022-04-01,2022,Spring,Weekday,Commuter-Heavy Transit Hub,10136,11437,1301,6499
2022-04-01,2022,Spring,Weekday,Leisure & Waterfront,15365,16211,846,12119
2022-04-01,2022,Spring,Weekday,Residential & Inner-Suburban Feeder,24414,21909,-2505,24674
